FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
neovim\src\nvim\tui\tui.c,193,static void terminfo_start(UI * ui),1.5988201,0.26548672,1.3333334,0.0,113,10,14,3,4,2,0,1,false
neovim\src\nvim\ex_docmd.c,4232,"int expand_filename(exarg_T * eap, char_u * * cmdlinep, char_u * * errormsgp)",1.5810398,0.24770643,1.3333334,0.0,109,9,13,3,4,3,0,1,false
neovim\src\nvim\eval.c,13142,"int modify_fname(char_u * src, bool tilde_file, size_t * usedlen, char_u * * fnamep, char_u * * bufp, size_t * fnamelen)",1.5648148,0.06481481,1.0,0.5,216,7,10,2,2,2,1,1,false
neovim\src\nvim\eval\decode.c,943,"int msgpack_to_vim(const msgpack_object mobj, typval_T * const rettv) FUNC_ATTR_NONNULL_ALL FUNC_ATTR_WARN_UNUSED_RESULT",1.5634921,0.06349207,1.5,0.0,189,6,10,2,3,2,0,1,false
neovim\src\nvim\main.c,1841,static void source_startup_scripts(const mparm_T * const parmp) FUNC_ATTR_NONNULL_ALL,1.5555556,0.5555556,1.0,0.0,36,10,10,2,2,1,0,0,false
neovim\src\nvim\regexp.c,7128,"regprog_T * vim_regcomp(char_u * expr_arg, int re_flags)",1.542373,0.5423729,1.0,0.0,59,16,16,2,2,2,0,0,false
neovim\src\nvim\path.c,565,"static size_t do_path_expand(garray_T * gap, const char_u * path, size_t wildoff, int flags, bool didstar) FUNC_ATTR_NONNULL_ALL",1.536341,0.20300752,1.3333334,0.0,133,9,13,3,4,3,0,2,false
neovim\src\nvim\ex_cmds.c,1439,"char_u * make_filter_cmd(char_u * cmd, char_u * itmp, char_u * otmp)",1.5326798,0.03267974,1.5,0.0,306,5,9,2,3,2,0,1,false
neovim\src\nvim\spell.c,3537,static void suggest_try_change(suginfo_T * su),1.5217391,0.5217391,1.0,0.0,23,6,6,2,2,1,0,0,false
neovim\src\nvim\buffer.c,4548,"void fname_expand(buf_T * buf, char_u * * ffname, char_u * * sfname)",1.5,0.5,1.0,0.0,20,10,10,1,1,1,0,0,false
neovim\src\nvim\fileio.c,7205,"bool has_autocmd(event_T event, char_u * sfname, buf_T * buf) FUNC_ATTR_WARN_UNUSED_RESULT",1.5,0.5,1.0,0.0,32,8,8,2,2,1,0,0,false
neovim\src\nvim\main.c,1289,static void check_and_set_isatty(mparm_T * paramp),1.4705882,0.47058824,1.0,0.0,17,8,8,1,1,1,0,1,false
neovim\src\nvim\memline.c,3175,"char_u * makeswapname(char_u * fname, char_u * ffname, buf_T * buf, char_u * dir_name)",1.451613,0.4516129,1.0,0.0,31,7,7,2,2,1,0,0,false
neovim\src\nvim\api\private\helpers.c,489,static inline void typval_encode_list_end(EncodedData * const edata) FUNC_ATTR_ALWAYS_INLINE FUNC_ATTR_NONNULL_ALL,1.4444444,0.44444445,1.0,0.0,9,4,4,1,1,1,0,1,false
neovim\src\nvim\api\private\helpers.c,554,static inline void typval_encode_dict_end(EncodedData * const edata) FUNC_ATTR_ALWAYS_INLINE FUNC_ATTR_NONNULL_ALL,1.4444444,0.44444445,1.0,0.0,9,4,4,1,1,1,0,1,false
neovim\src\nvim\message.c,798,void iemsg(const char * s),1.4285715,0.42857143,1.0,0.0,7,3,3,1,1,1,0,0,false
neovim\src\nvim\undo.c,327,"int u_savecommon(linenr_T top, linenr_T bot, linenr_T newbot, int reload)",1.4285715,0.42857143,1.0,0.0,175,15,15,5,5,1,0,0,false
neovim\src\nvim\path.c,1399,"void addfile(garray_T * gap, char_u * f, int flags)",1.4117647,0.4117647,1.0,0.0,34,7,7,2,2,2,0,0,false
neovim\src\nvim\ex_docmd.c,7526,void ex_cd(exarg_T * eap),1.4,0.4,1.0,0.0,55,11,11,2,2,1,0,1,false
neovim\src\nvim\spellfile.c,4019,"static void wordtree_compress(spellinfo_T * spin, wordnode_T * root)",1.4,0.4,1.0,0.0,30,6,6,2,2,1,0,1,false
neovim\src\nvim\path.c,186,char_u * get_past_head(const char_u * path),1.3846154,0.3846154,1.0,0.0,13,5,5,1,1,1,0,0,false
neovim\src\nvim\option.c,6539,"void ExpandOldSetting(int * num_file, char_u * * * file)",1.3793104,0.37931034,1.0,0.0,29,11,11,1,1,1,0,0,false
neovim\src\nvim\path.c,224,int vim_ispathsep_nocolon(int c),1.375,0.375,1.0,0.0,8,3,3,1,1,1,0,0,false
neovim\src\nvim\shada.c,3009,"int shada_write_file(const char * const file, bool nomerge)",1.3647798,0.36477986,1.0,0.0,159,29,29,2,2,1,0,0,false
neovim\src\nvim\viml\parser\expressions.c,983,void viml_pexpr_free_ast(ExprAST ast),1.3414634,0.34146342,1.0,0.0,82,14,14,2,2,1,0,2,false
neovim\src\nvim\event\libuv_process.c,101,"static void exit_cb(uv_process_t * handle, int64_t status, int term_signal)",1.3333334,0.33333334,1.0,0.0,9,3,3,1,1,1,0,0,false
neovim\src\nvim\mbyte.c,1237,int mb_toupper(int a),1.3333334,0.33333334,1.0,0.0,12,4,4,1,1,1,0,0,false
neovim\src\nvim\mbyte.c,1265,int mb_tolower(int a),1.3333334,0.33333334,1.0,0.0,12,4,4,1,1,1,0,0,false
neovim\src\nvim\quickfix.c,1747,static void decr_quickfix_busy(void),1.3333334,0.33333334,1.0,0.0,18,6,6,1,1,1,0,0,false
neovim\src\nvim\quickfix.c,1770,void check_quickfix_busy(void),1.3333334,0.33333334,1.0,0.0,9,3,3,1,1,1,0,0,false
neovim\src\nvim\tag.c,2270,"static void found_tagfile_cb(char_u * fname, void * cookie)",1.3333334,0.33333334,1.0,0.0,9,3,3,1,1,1,0,0,false
neovim\test\functional\fixtures\tty-test.c,38,"static void walk_cb(uv_handle_t * handle, void * arg)",1.3333334,0.33333334,1.0,0.0,9,3,3,1,1,1,0,0,false
neovim\src\nvim\regexp_nfa.c,4627,"static int recursive_regmatch(nfa_state_T * state, nfa_pim_T * pim, nfa_regprog_T * prog, regsubs_T * submatch, regsubs_T * m, int * * listids, int * listids_len)",1.3119266,0.3119266,1.0,0.0,109,17,17,2,2,1,0,0,false
neovim\src\nvim\ex_docmd.c,7598,static void ex_pwd(exarg_T * eap),1.3,0.3,1.0,0.0,10,3,3,1,1,1,0,0,false
neovim\src\nvim\hashtab.c,122,"hashitem_T * hash_lookup(const hashtab_T * const ht, const char * const key, const size_t key_len, const hash_T hash)",1.3,0.3,1.0,0.0,40,6,6,2,2,1,0,0,false
neovim\src\nvim\message.c,809,"void iemsgf(const char * s, ...)",1.3,0.3,1.0,0.0,10,3,3,1,1,1,0,0,false
neovim\src\nvim\undo.c,2852,"static void u_freeentry(u_entry_T * uep, long n)",1.3,0.3,1.0,0.0,10,3,3,1,1,1,0,0,false
neovim\src\nvim\eval.c,12623,"static void add_nr_var(dict_T * dp, dictitem_T * v, char * name, varnumber_T nr)",1.2727273,0.27272728,1.0,0.0,11,3,3,1,1,1,0,1,false
neovim\src\nvim\undo.c,2943,void u_blockfree(buf_T * buf),1.2727273,0.27272728,1.0,0.0,11,3,3,1,1,1,0,1,false
neovim\src\nvim\memline.c,1501,static time_t swapfile_info(char_u * fname),1.2666667,0.26666668,1.0,0.0,75,10,10,2,2,1,0,0,false
neovim\src\nvim\screen.c,4809,"static int skip_status_match_char(expand_T * xp, char_u * s)",1.2666667,0.26666668,1.0,0.0,15,4,4,1,1,1,0,1,false
neovim\src\nvim\ex_docmd.c,8153,"FILE * open_exfile(char_u * fname, int forceit, char * mode)",1.2608695,0.26086956,1.0,0.0,23,6,6,1,1,1,0,0,false
neovim\src\nvim\ex_cmds2.c,3881,static char_u * get_mess_env(void),1.25,0.25,1.0,0.0,20,5,5,1,1,1,0,0,false
neovim\src\tree_sitter\get_changed_ranges.c,340,"unsigned ts_subtree_get_changed_ranges(const Subtree * old_tree, const Subtree * new_tree, TreeCursor * cursor1, TreeCursor * cursor2, const TSLanguage * language, const TSRangeArray * included_range_differences, TSRange * * ranges)",1.25,0.25,1.0,0.0,112,14,14,2,2,1,0,0,false
neovim\src\nvim\mbyte.c,2007,char_u * enc_locale(void),1.24,0.24,1.0,0.0,50,6,6,2,2,2,0,0,false
neovim\src\nvim\undo.c,635,"char * u_get_undo_file_name(const char * const buf_ffname, const bool reading) FUNC_ATTR_WARN_UNUSED_RESULT",1.238806,0.23880596,1.0,0.0,67,8,8,2,2,1,0,0,false
neovim\src\nvim\spellfile.c,3969,static wordnode_T * get_wordnode(spellinfo_T * spin),1.2352941,0.23529412,1.0,0.0,17,4,4,1,1,1,0,0,false
