FILE,Start,FUNCTION_SIGNATURE,ABSmell,LocationSmell,ConstantsSmell,NestingSmell,LOC,LOAC,LOFC,NOFL,NOFC_Dup,NOFC_NonDup,NONEST,NONEG,Smelly
lvgl\src\lv_themes\lv_theme_zen.c,587,static void list_init(void),2.9230769,0.9230769,2.0,0.0,39,36,72,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_zen.c,103,static void btn_init(void),2.9210527,0.92105263,2.0,0.0,38,35,70,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_alien.c,632,static void list_init(void),2.9166667,0.9166667,2.0,0.0,36,33,66,1,2,2,0,1,false
lvgl\src\lv_draw\lv_draw_basic.c,123,"void lv_draw_fill(const lv_area_t * cords_p, const lv_area_t * mask_p, lv_color_t color, lv_opa_t opa)",2.9166665,1.4166666,1.5,0.0,72,51,55,2,3,2,0,1,false
lvgl\src\lv_themes\lv_theme_material.c,765,static void win_init(void),2.9142857,0.9142857,2.0,0.0,35,32,64,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_nemo.c,610,static void list_init(void),2.9117646,0.9117647,2.0,0.0,34,31,62,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_zen.c,676,static void tabview_init(void),2.9117646,0.9117647,2.0,0.0,34,31,62,1,2,2,0,1,false
lvgl\src\lv_objx\lv_tabview.c,347,"void lv_tabview_set_tab_act(lv_obj_t * tabview, uint16_t id, lv_anim_enable_t anim)",2.90991,1.90991,1.0,0.0,111,53,53,4,4,1,0,0,false
lvgl\src\lv_themes\lv_theme_zen.c,371,static void cb_init(void),2.90625,0.90625,2.0,0.0,32,29,58,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_nemo.c,429,static void calendar_init(void),2.903226,0.9032258,2.0,0.0,31,28,56,1,2,2,0,1,false
lvgl\src\lv_hal\lv_hal_disp.c,254,bool lv_disp_get_antialiasing(lv_disp_t * disp),2.9,1.4,1.5,0.0,10,7,13,2,3,2,0,1,false
lvgl\src\lv_themes\lv_theme_night.c,698,static void win_init(void),2.9,0.9,2.0,0.0,30,27,54,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_zen.c,745,static void win_init(void),2.9,0.9,2.0,0.0,30,27,54,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_material.c,404,static void cb_init(void),2.8965516,0.8965517,2.0,0.0,29,26,52,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_alien.c,338,static void sw_init(void),2.892857,0.89285713,2.0,0.0,28,25,50,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_nemo.c,328,static void sw_init(void),2.892857,0.89285713,2.0,0.0,28,25,50,1,2,2,0,1,false
lvgl\src\lv_core\lv_obj.c,1150,void lv_obj_realign(lv_obj_t * obj),2.8846154,1.3846154,1.5,0.0,13,9,14,2,3,2,0,1,false
lvgl\src\lv_themes\lv_theme_alien.c,811,static void win_init(void),2.8846154,0.88461536,2.0,0.0,26,23,46,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_material.c,264,static void sw_init(void),2.875,0.875,2.0,0.0,24,21,42,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_zen.c,343,static void calendar_init(void),2.875,0.875,2.0,0.0,24,21,42,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_alien.c,695,static void roller_init(void),2.8636365,0.8636364,2.0,0.0,22,19,38,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_nemo.c,671,static void roller_init(void),2.8636365,0.8636364,2.0,0.0,22,19,38,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_nemo.c,783,static void win_init(void),2.8636365,0.8636364,2.0,0.0,22,19,38,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_material.c,623,static void ddlist_init(void),2.857143,0.85714287,2.0,0.0,21,18,36,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_zen.c,252,static void sw_init(void),2.857143,0.85714287,2.0,0.0,21,18,36,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_alien.c,386,static void gauge_init(void),2.85,0.85,2.0,0.0,20,17,34,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_nemo.c,375,static void gauge_init(void),2.85,0.85,2.0,0.0,20,17,34,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_night.c,620,static void ddlist_init(void),2.85,0.85,2.0,0.0,20,17,34,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_zen.c,634,static void ddlist_init(void),2.85,0.85,2.0,0.0,20,17,34,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_alien.c,673,static void ddlist_init(void),2.8421054,0.84210527,2.0,0.0,19,16,32,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_nemo.c,649,static void ddlist_init(void),2.8421054,0.84210527,2.0,0.0,19,16,32,1,2,2,0,1,false
lvgl\src\lv_objx\lv_label.c,442,"void lv_label_set_text_sel_start(lv_obj_t * label, uint16_t index)",2.8333335,1.3333334,1.5,0.0,12,8,13,2,3,2,0,1,false
lvgl\src\lv_objx\lv_label.c,456,"void lv_label_set_text_sel_end(lv_obj_t * label, uint16_t index)",2.8333335,1.3333334,1.5,0.0,12,8,13,2,3,2,0,1,false
lvgl\src\lv_objx\lv_ta.c,883,"void lv_ta_set_text_sel(lv_obj_t * ta, bool en)",2.8333335,1.3333334,1.5,0.0,12,8,13,2,3,2,0,1,false
lvgl\src\lv_themes\lv_theme_material.c,647,static void roller_init(void),2.8333333,0.8333333,2.0,0.0,18,15,30,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_alien.c,408,static void arc_init(void),2.8235295,0.8235294,2.0,0.0,17,14,28,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_mono.c,393,static void win_init(void),2.8235295,0.8235294,2.0,0.0,17,14,28,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_night.c,296,static void arc_init(void),2.8235295,0.8235294,2.0,0.0,17,14,28,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_alien.c,216,static void label_init(void),2.8125,0.8125,2.0,0.0,16,13,26,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_alien.c,302,static void led_init(void),2.8125,0.8125,2.0,0.0,16,13,26,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_alien.c,320,static void slider_init(void),2.8125,0.8125,2.0,0.0,16,13,26,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_material.c,155,static void label_init(void),2.8125,0.8125,2.0,0.0,16,13,26,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_material.c,201,static void led_init(void),2.8125,0.8125,2.0,0.0,16,13,26,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_material.c,308,static void gauge_init(void),2.8125,0.8125,2.0,0.0,16,13,26,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_material.c,327,static void arc_init(void),2.8125,0.8125,2.0,0.0,16,13,26,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_nemo.c,206,static void label_init(void),2.8125,0.8125,2.0,0.0,16,13,26,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_nemo.c,292,static void led_init(void),2.8125,0.8125,2.0,0.0,16,13,26,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_nemo.c,310,static void slider_init(void),2.8125,0.8125,2.0,0.0,16,13,26,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_night.c,184,static void led_init(void),2.8125,0.8125,2.0,0.0,16,13,26,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_night.c,263,static void lmeter_init(void),2.8125,0.8125,2.0,0.0,16,13,26,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_zen.c,189,static void led_init(void),2.8125,0.8125,2.0,0.0,16,13,26,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_zen.c,657,static void roller_init(void),2.8125,0.8125,2.0,0.0,16,13,26,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_zen.c,727,static void table_init(void),2.8125,0.8125,2.0,0.0,16,13,26,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_alien.c,794,static void table_init(void),2.8,0.8,2.0,0.0,15,12,24,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_default.c,162,static void sw_init(void),2.8,0.8,2.0,0.0,15,12,24,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_material.c,748,static void table_init(void),2.8,0.8,2.0,0.0,15,12,24,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_mono.c,191,static void slider_init(void),2.8,0.8,2.0,0.0,15,12,24,1,2,2,0,1,false
lvgl\src\lv_themes\lv_theme_mono.c,219,static void lmeter_init(void),2.8,0.8,2.0,0.0,15,12,24,1,2,2,0,1,false
